Title,IMDB id,Year,Rating,Genre,Top_cast
The Namesake,tt0433416,2006,7.5,Drama,"Kal PennNikhil a.k.a. Gogol, Irrfan KhanAshoke, TabuAshima"
Secret Superstar,tt6108090,2017,7.8,"Drama, Music","Zaira WasimInsia, Meher VijNajma, Raj ArjunFarookh"
Omkara,tt0488414,2006,8,"Action, Crime, Drama","Ajay DevgnOmi Shukla(as Ajay Devgan)…, Kareena KapoorDolly Mishra, Saif Ali KhanLangda Tyagi…"
"The Good, the Bad and the Ugly",tt5083572,2015,7.5,"Short, Action, Fantasy","Troy ManningThe Bad, Wolfgang MoserThe Good, Joe PalermoKiller"
Hum Aapke Hain Koun...!,tt0110076,1994,7.5,"Comedy, Drama, Musical","Madhuri DixitNisha Choudhury, Salman KhanPrem Nath, Mohnish BehlRajesh Nath"
Sonu Ke Titu Ki Sweety,tt7581902,2018,7.1,"Comedy, Romance","Kartik AaryanSonu Sharma, Nushrratt BharucchaSweety Sharma(as Nushrat Bharucha), Sunny SinghTitu Sharma"
Wanted,tt0493464,2008,6.7,"Action, Crime, Thriller","Angelina JolieFox, James McAvoyWesley, Morgan FreemanSloan"
Jab Harry Met Sejal,tt5997666,2017,5.1,"Comedy, Drama, Romance","Shah Rukh KhanHarinder 'Harry' Singh Nehra, Anushka SharmaSejal Zaveri, Björn FreibergBar Guy"
Ramleela,tt5365246,2015,5.9,"Comedy, Drama","Chiranjeevi SarjaRam, AmulyaChandrakala, UrvashiBaby"
Kabhi Alvida Naa Kehna,tt0449999,2006,6,"Drama, Romance","Shah Rukh KhanDev Saran, Rani MukerjiMaya Talwar, Amitabh BachchanSamarjit Talwar"
Rocket Singh: Salesman of the Year,tt1434447,2009,7.5,"Comedy, Drama","Ranbir KapoorHarpreet Singh Bedi, Prem ChopraP.S. Bedi, Mukesh S. BhattChhotelal Mishra(as Mukesh Bhatt)"
Thanksgiving,tt1448754,2023,6.4,"Horror, Mystery, Thriller","Patrick DempseySheriff Eric Newlon, Ty OlssonMitch Collins(as Ty Victor Olsson), Gina GershonAmanda Collins"
Dhoom,tt0422091,2004,6.6,"Action, Crime, Drama","Abhishek BachchanJai Dixit, John AbrahamKabir, Uday ChopraAli Khan"
Manjhi: The Mountain Man,tt3449292,2015,8,"Biography, Drama","Nawazuddin SiddiquiDashrath Manjhi, Radhika AptePhaguniya(Manjhi's Wife), Ashutosh AcharyaPhotographer"
Krrish,tt0432637,2006,6.4,"Action, Adventure, Sci-Fi","Hrithik RoshanKrishna Mehra…, Priyanka Chopra JonasPriya(as Priyanka Chopra), RekhaSonia Mehra"
Tumbbad,tt8239946,2018,8.2,"Drama, Fantasy, Horror","Sohum ShahVinayak Rao, Jyoti MalsheVinayak's Mother, Anita Date-KelkarVaidehi - Vinayak's Wife(as Anita Date)"
Kabhi Haan Kabhi Naa,tt0110222,1994,7.6,"Comedy, Drama, Music","Shah Rukh KhanSunil, Suchitra KrishnamoorthiAnna, Deepak TijoriChris(as Depak Tijori)"
Prem Ratan Dhan Payo,tt3595298,2015,4.4,"Action, Drama, Musical","Salman KhanPrem Dilwale…, Sonam KapoorMaithili, Neil Nitin MukeshYuvraj Ajay Singh"
Gol Maal,tt0079221,1979,8.5,"Comedy, Romance","Amol PalekarRam Prasad Dasharath Prasad Sharma, Bindiya GoswamiUrmila, Deven VermaSelf"
Welcome to Wrexham,tt14674086,2022– ,8.3,"Documentary, Sport","Wrexham A.F.C.Themselves30 eps • 2022–202430 episodes • 2022–2024, Ryan ReynoldsSelf - Co-Chairman, Wrexham AFC…29 eps • 2022–202329 episodes • 2022–2023, Rob McElhenneySelf - Co-Chairman, Wrexham AFC…29 eps • 2022–202329 episodes • 2022–2023"
Thugs of Hindostan,tt5970844,2018,4.1,"Action, Adventure","Aamir KhanFirangi, Amitabh BachchanKhudabaksh, Lloyd OwenJohn Clive"
Guzaarish,tt1438298,2010,7.4,"Drama, Romance","Hrithik RoshanEthan Mascarenhas, Aishwarya Rai BachchanSofia D'Souza, Shernaz PatelAdvocate Devyani Dutta"
Hum Dil De Chuke Sanam,tt0150992,1999,7.4,"Comedy, Drama, Musical","Aishwarya Rai BachchanNandini(as Aishwarya Rai), Salman KhanSameer, Ajay DevgnVanraj"
Jai Ho,tt1188982,2014,5,"Action, Drama","Salman KhanJai Agnihotri, Daisy ShahRinky Shah, TabuGeeta"
Simmba,tt7212726,2018,5.5,"Action, Crime, Drama","Ranveer SinghInspector Sangram Bhalerao a.k.a 'Simmba', Sara Ali KhanShagun Sathe, Sonu SoodDurva Yashwant Ranade"
Beneath the Summer Skies: A Toilet Paper Love Story,tt10381178,2018,6.026003,"Short, Comedy, Drama","Akshay KumarSidhu, Deepika PadukoneSakhi…, Chia-Hui LiuHojo(as Gordon Liu)"
Dum Laga Ke Haisha,tt3495030,2015,7.5,"Comedy, Drama, Romance","Bhumi PednekarSandhya Verma, Ayushmann KhurranaPrem Prakash Tiwari, Sanjay MishraChandrabhan Tiwari"
